sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
50w_PW_euk_DNAg_rep2	FE72_PW_euk_DNAgard_50_weeks	18S	DNAgard	50w	PowerWater	FE72-DNAgard-50weeks_S31_L001_R1_001.fastq.gz	FE72-DNAgard-50weeks_S31_L001_R2_001.fastq.gz
50w_NS_bac_DNAg_rep3	FE73_NS_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	NucleoSpin	FE73_NS_bactV4V5_DNAgard_50_weeks_S73_L001_R1_001.fastq.gz	FE73_NS_bactV4V5_DNAgard_50_weeks_S73_L001_R2_001.fastq.gz
50w_PW_bac_DNAg_rep3	FE73_PW_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	PowerWater	FE73_PW_bactV4V5_DNAgard_50_weeks_S161_L001_R1_001.fastq.gz	FE73_PW_bactV4V5_DNAgard_50_weeks_S161_L001_R2_001.fastq.gz
50w_NS_euk_DNAg_rep3	FE73_NS_euk_DNAgard_50_weeks	18S	DNAgard	50w	NucleoSpin	FE-73_S13_L001_R1_001.fastq.gz	FE-73_S13_L001_R2_001.fastq.gz
50w_PW_euk_DNAg_rep3	FE73_PW_euk_DNAgard_50_weeks	18S	DNAgard	50w	PowerWater	FE73-DNAgard-50weeks_S43_L001_R1_001.fastq.gz	FE73-DNAgard-50weeks_S43_L001_R2_001.fastq.gz
50w_NS_bac_DNAg_rep4	FE74_NS_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	NucleoSpin	FE74_NS_bactV4V5_DNAgard_50_weeks_S74_L001_R1_001.fastq.gz	FE74_NS_bactV4V5_DNAgard_50_weeks_S74_L001_R2_001.fastq.gz
50w_PW_bac_DNAg_rep4	FE74_PW_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	PowerWater	FE74_PW_bactV4V5_DNAgard_50_weeks_S162_L001_R1_001.fastq.gz	FE74_PW_bactV4V5_DNAgard_50_weeks_S162_L001_R2_001.fastq.gz
50w_NS_euk_DNAg_rep4	FE74_NS_euk_DNAgard_50_weeks	18S	DNAgard	50w	NucleoSpin	FE-74_S22_L001_R1_001.fastq.gz	FE-74_S22_L001_R2_001.fastq.gz
50w_PW_euk_DNAg_rep4	FE74_PW_euk_DNAgard_50_weeks	18S	DNAgard	50w	PowerWater	FE74-DNAgard-50weeks_S55_L001_R1_001.fastq.gz	FE74-DNAgard-50weeks_S55_L001_R2_001.fastq.gz
50w_NS_bac_DNAg_rep5	FE75_NS_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	NucleoSpin	FE75_NS_bactV4V5_DNAgard_50_weeks_S75_L001_R1_001.fastq.gz	FE75_NS_bactV4V5_DNAgard_50_weeks_S75_L001_R2_001.fastq.gz
50w_PW_bac_DNAg_rep5	FE75_PW_bactV4V5_DNAgard_50_weeks	16S	DNAgard	50w	PowerWater	FE75_PW_bactV4V5_DNAgard_50_weeks_S163_L001_R1_001.fastq.gz	FE75_PW_bactV4V5_DNAgard_50_weeks_S163_L001_R2_001.fastq.gz
50w_NS_euk_DNAg_rep5	FE75_NS_euk_DNAgard_50_weeks	18S	DNAgard	50w	NucleoSpin	FE-75_S31_L001_R1_001.fastq.gz	FE-75_S31_L001_R2_001.fastq.gz
50w_PW_euk_DNAg_rep5	FE75_PW_euk_DNAgard_50_weeks	18S	DNAgard	50w	PowerWater	FE75-DNAgard-50weeks_S67_L001_R1_001.fastq.gz	FE75-DNAgard-50weeks_S67_L001_R2_001.fastq.gz
50w_NS_bac_PB_rep1	FE76_NS_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	NucleoSpin	FE76_NS_bactV4V5_P_Buffer_50_weeks_S76_L001_R1_001.fastq.gz	FE76_NS_bactV4V5_P_Buffer_50_weeks_S76_L001_R2_001.fastq.gz
50w_PW_bac_PB_rep1	FE76_PW_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	PowerWater	FE76_PW_bactV4V5_P_Buffer_50_weeks_S164_L001_R1_001.fastq.gz	FE76_PW_bactV4V5_P_Buffer_50_weeks_S164_L001_R2_001.fastq.gz
50w_NS_euk_PB_rep1	FE76_NS_euk_PBuffer_50_weeks	18S	PBuffer	50w	NucleoSpin	FE-76_S39_L001_R1_001.fastq.gz	FE-76_S39_L001_R2_001.fastq.gz
50w_PW_euk_PB_rep1	FE76_PW_euk_PBuffer_50_weeks	18S	PBuffer	50w	PowerWater	FE76-PBuffer-50weeks_S78_L001_R1_001.fastq.gz	FE76-PBuffer-50weeks_S78_L001_R2_001.fastq.gz
50w_NS_bac_PB_rep2	FE77_NS_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	NucleoSpin	FE77_NS_bactV4V5_P_Buffer_50_weeks_S77_L001_R1_001.fastq.gz	FE77_NS_bactV4V5_P_Buffer_50_weeks_S77_L001_R2_001.fastq.gz
